player_name,Pos,salary,FG_per_game,x3P_game,x2P_game,FT_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,player_poss,exp_points
Aaron Gordon,PF,21590909,39.581090386465455,10.190025397366638,29.391064989098815,15.579790896800231,10.863746084795837,37.475713238249206,48.33945932304505,24.338159833379823,4.800259897933045,4.7160448120043945,13.642843920441285,1190.32,109.92309954426005
Al Horford,C,28928710,51.94697739550421,9.798783849797951,42.148193545706256,10.469933428551236,16.107589890078824,45.369711523722025,61.47730141380085,37.9870661574359,7.919565029288756,11.54377275455649,13.691451406567001,746.8,141.67982459573142
Al-Farouq Aminu,PF,6957105,40.949938927749514,15.296475241493981,25.65346368625553,23.900742564834346,17.845887781742977,79.35046531525002,97.19635309699301,16.57118151161848,10.835003296058236,5.258163364263556,11.472356431120485,629.12,118.40379012633194
Alec Burks,SG,11536515,33.704533846766225,10.70821127423302,22.996322572533206,20.363155865754596,5.266333413557223,35.98661165930769,41.25294507286491,22.469689231177483,6.84623343762439,3.686433389490056,11.410389062707317,571.04,95.43483391589042
Alex Len,C,4350000,47.0320338197598,10.876157820819456,36.15587599894035,20.576514796144917,23.222066698506403,39.09537811267534,62.317444811181744,12.639859089060447,3.9683278535422337,10.141282292385709,14.256585251614691,682.04,128.5427759418689
Allen Crabbe,SG,19332500,32.114108708995666,22.972136156799817,9.141972552195845,9.610791657436659,3.750552841926501,30.942060945893633,34.692613787820136,10.782839420538691,5.3914197102693455,3.047324184065282,10.782839420538691,427.64,100.99779588422055
Allonzo Trier,SG,3382000,33.17028903919587,7.434719957061143,25.735569082134724,25.592593698345087,4.4322368974787585,23.733913709079804,28.16615060655856,17.014070670966845,4.003310746109846,2.001655373054923,16.585144519597936,701.12,90.55415449445339
Andre Drummond,C,25434262,57.07643259513366,0.5087026077997653,56.5677299873339,24.722946739068593,43.036240619860145,82.30808194200202,125.34432256186216,11.394938414714742,13.836710932153615,14.04019197527352,17.804591272991786,985.28,146.1365038066175
Andrew Wiggins,SF,25467250,35.80514455124662,8.4839499137492,27.321194637497424,14.882861289373597,5.967524091874437,19.340529888123175,25.308053979997613,13.229210034998752,5.032851643749526,3.4510982699996746,9.921907526249065,1394.24,97.65742273172548
Anthony Davis,C,25434263,46.018031366951625,4.167670765308826,41.8503606016428,29.868307151379923,15.107806524244497,43.23958419007908,58.34739071432357,18.928171392444256,7.640729736399515,11.721574027431075,9.72456511905393,1154.52,120.61249904802617
Antonio Blakeney,SG,1349383,36.3770583676767,7.889000609857598,28.488057757819103,10.956945291468886,1.533972340805644,21.694751677108396,23.22872401791404,9.203834044833865,2.6296668699525325,1.9722501524643996,7.669861704028221,457.44,98.21894418554287
Austin Rivers,SG,13155324,35.408576509075836,15.872810159240892,19.535766349834944,7.631158730404275,3.8155793652021375,20.909374921307712,24.72495428650985,25.48807015955028,7.1732892065800185,3.5103330159859665,10.378375873349814,656.8,103.9102842683882
Avery Bradley,SG,12000000,36.77550217231132,12.752795108140218,24.022707064171108,6.376397554070109,6.376397554070109,19.574057607843123,25.950455161913233,22.539823912061777,6.079820923648243,2.372613043374924,13.197660053773015,676,104.44178186788409
Bam Adebayo,C,2955840,51.839561730063075,0.5554238756792472,51.28413785438382,30.733454454251678,30.548313162358596,79.98103809781159,110.52935126017019,34.06599770832716,13.14503172440885,12.034183973050355,22.40209631906297,541.44,134.43773697098908
Ben Simmons,PG,6434520,43.29385004206835,0,43.29385004206835,20.604665668169567,13.78989297636251,42.091243096455344,55.88113607281785,48.906015788262394,8.979465193910473,4.89060157882624,21.967620206530977,1250.32,112.39297555208984
Blake Griffin,PF,31873932,35.7432924943108,10.913541650120745,24.829750844190055,23.905853138359728,5.774360661439547,26.850777075693895,32.62513773713344,23.212929858986982,3.0026675439485646,1.6168209852030733,14.609132473442054,1736,100.5143300926128
