player_name,Pos,Age,Tm,G,GS,MP,FG_per,x3P_per,x2P_per,eFG_per,x2P_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,x3P_game,x3PA_game,AST_TOV_ratio,Pts_per_game,salary
Aaron Gordon,PF,23,ORL,78,78,2633,0.449,0.349,0.499,0.507,4.4743589743589745,1.6538461538461537,5.705128205128205,7.358974358974359,3.7051282051282053,0.7307692307692307,0.717948717948718,2.076923076923077,1.5512820512820513,4.448717948717949,1.7839506172839505,15.974358974358974,21590909
Aaron Holiday,PG,22,IND,50,0,646,0.401,0.339,0.459,0.483,1.24,0.1,1.24,1.34,1.74,0.42,0.26,0.8,0.86,2.54,2.175,5.88,1914480
Abdel Nader,SF,25,OKC,61,1,694,0.423,0.32,0.513,0.498,0.9672131147540983,0.22950819672131148,1.6721311475409837,1.901639344262295,0.32786885245901637,0.32786885245901637,0.19672131147540983,0.4262295081967213,0.5245901639344263,1.639344262295082,0.7692307692307693,3.9508196721311477,1378242
Al Horford,C,32,BOS,68,68,1973,0.535,0.36,0.604,0.586,4.617647058823529,1.7647058823529411,4.970588235294118,6.735294117647059,4.161764705882353,0.8676470588235294,1.2647058823529411,1.5,1.0735294117647058,2.985294117647059,2.7745098039215685,13.602941176470589,28928710
Al-Farouq Aminu,PF,28,POR,81,81,2292,0.433,0.343,0.514,0.514,1.9876543209876543,1.382716049382716,6.148148148148148,7.530864197530864,1.2839506172839505,0.8395061728395061,0.4074074074074074,0.8888888888888888,1.1851851851851851,3.45679012345679,1.4444444444444444,9.382716049382717,6957105
Alan Williams,PF,26,BRK,5,0,26,0.615,0,0.667,0.615,1.6,0.8,3,3.8,0.6,0.2,0,0.2,0,0.2,3,3.6,77250
Alec Burks,SG,27,TOT,64,24,1375,0.405,0.363,0.428,0.469,2.046875,0.46875,3.203125,3.671875,2,0.609375,0.328125,1.015625,0.953125,2.625,1.9692307692307693,8.765625,11536515
Alex Abrines,SG,25,OKC,31,2,588,0.357,0.323,0.5,0.487,0.4838709677419355,0.16129032258064516,1.3870967741935485,1.5483870967741935,0.6451612903225806,0.5483870967741935,0.1935483870967742,0.45161290322580644,1.3225806451612903,4.096774193548387,1.4285714285714286,5.32258064516129,3667645
Alex Caruso,PG,24,LAL,25,4,531,0.445,0.48,0.431,0.514,2.12,0.8,1.88,2.68,3.08,0.96,0.36,1.68,0.96,2,1.8333333333333333,9.16,77250
Alex Len,C,25,ATL,77,31,1544,0.494,0.363,0.554,0.551,3.1948051948051948,2.051948051948052,3.4545454545454546,5.5064935064935066,1.1168831168831168,0.35064935064935066,0.8961038961038961,1.2597402597402598,0.961038961038961,2.6493506493506493,0.8865979381443299,11.090909090909092,4350000
Alex Poythress,PF,25,ATL,21,1,305,0.494,0.391,0.534,0.549,1.4761904761904763,1.380952380952381,2.238095238095238,3.619047619047619,0.8095238095238095,0.19047619047619047,0.47619047619047616,0.6190476190476191,0.42857142857142855,1.0952380952380953,1.3076923076923077,5.095238095238095,77250
Alfonzo McKinnie,SF,26,GSW,72,5,1003,0.487,0.356,0.586,0.564,1.2777777777777777,1.125,2.3055555555555554,3.4305555555555554,0.4305555555555556,0.25,0.20833333333333334,0.4166666666666667,0.5833333333333334,1.6388888888888888,1.0333333333333334,4.680555555555555,1349383
Alize Johnson,PF,22,IND,14,0,64,0.25,0.5,0.214,0.281,0.21428571428571427,0.2857142857142857,1.0714285714285714,1.3571428571428572,0.07142857142857142,0.07142857142857142,0.21428571428571427,0,0.07142857142857142,0.14285714285714285,Inf,0.9285714285714286,838464
Allen Crabbe,SG,26,BRK,43,20,1133,0.367,0.378,0.342,0.499,0.9069767441860465,0.37209302325581395,3.0697674418604652,3.441860465116279,1.069767441860465,0.5348837209302325,0.3023255813953488,1.069767441860465,2.2790697674418605,6.023255813953488,1,9.604651162790697,19332500
Allonzo Trier,SG,23,NYK,64,3,1459,0.448,0.394,0.466,0.498,2.8125,0.484375,2.59375,3.078125,1.859375,0.4375,0.21875,1.8125,0.8125,2.0625,1.0258620689655173,10.859375,3382000
Amile Jefferson,PF,25,ORL,12,0,68,0.625,0,0.625,0.625,0.8333333333333334,0.5,1.25,1.75,0.25,0.25,0.25,0.08333333333333333,0,0,3,2.25,77250
Amir Johnson,C,31,PHI,51,6,529,0.503,0.3,0.573,0.541,1.3137254901960784,0.9215686274509803,1.9607843137254901,2.8823529411764706,1.1764705882352942,0.3137254901960784,0.2549019607843137,0.8823529411764706,0.23529411764705882,0.7843137254901961,1.3333333333333333,3.9411764705882355,2393887
Andre Drummond,C,25,DET,79,79,2647,0.533,0.132,0.548,0.536,7.037974683544304,5.3544303797468356,10.240506329113924,15.594936708860759,1.4177215189873418,1.7215189873417722,1.7468354430379747,2.2151898734177213,0.06329113924050633,0.4810126582278481,0.64,17.341772151898734,25434262
Andre Iguodala,SF,35,GSW,68,13,1578,0.5,0.333,0.652,0.579,1.5147058823529411,0.7058823529411765,3,3.7058823529411766,3.176470588235294,0.8970588235294118,0.75,0.7647058823529411,0.7058823529411765,2.1176470588235294,4.153846153846154,5.720588235294118,16000000
Andre Ingram,SG,33,LAL,4,0,15,0,0,0,0,0,0.25,0.25,0.5,0,0.25,0,0.25,0,0.75,0,0,76236
Andrew Bogut,C,34,GSW,11,5,134,0.5,0,0.5,0.5,1.6363636363636365,1.0909090909090908,3.909090909090909,5,1,0.2727272727272727,0.7272727272727273,0.7272727272727273,0,0,1.375,3.5454545454545454,486892
